ID_Candidate,firstname,lastname,gender,city,district,group
46804,Andreas,Meier,m,Klingnau,Aargau,CVP/PDC
46805,Alfons Paul,Kaufmann,m,Wallbach,Aargau,CVP/PDC
46806,Jürg,Baur,m,Brugg AG,Aargau,CVP/PDC
46807,Oliver,Hunziker,m,Lenzburg,Aargau,CVP/PDC
46808,Marianne,Binder-Keller,f,Baden,Aargau,CVP/PDC
46809,Ruth,Humbel,f,Birmenstorf AG,Aargau,CVP/PDC
46810,Muriel,Jeisy-Strub,f,Olten,Solothurn,CVP/PDC
46811,Stefan,Müller-Altermatt,m,Herbetswil,Solothurn,CVP/PDC
46812,Andreas,Vögtli,m,Büren SO,Solothurn,CVP/PDC
46813,Susanne,Koch Hauser,f,Erschwil,Solothurn,CVP/PDC
46814,Sandra,Kolly-Altermatt,f,Neuendorf,Solothurn,CVP/PDC
46815,Peter,Kyburz,m,Obergösgen,Solothurn,CVP/PDC
46816,Lara Christina,Alkan,f,Witterswil,Solothurn,CVP/PDC
46817,Rahel,Fluri,f,Balsthal,Solothurn,CVP/PDC
46818,Janine,Graber,f,Büsserach,Solothurn,CVP/PDC
46819,Simon,Hafner,m,Balsthal,Solothurn,CVP/PDC
46820,Vladlena,Denysova,f,Kestenholz,Solothurn,CVP/PDC
46821,Joël,Müller,m,Herbetswil,Solothurn,CVP/PDC
46822,Boris,Lisser,m,Bettlach,Solothurn,CVP/PDC
46823,Therese,Schenker,f,Däniken,Solothurn,CVP/PDC
46824,Robin,Schmid,m,Subingen,Solothurn,CVP/PDC
46825,Bartolomeo,Vinci,m,Olten,Solothurn,CVP/PDC
46826,Andrea,Heiri,f,Grenchen,Solothurn,CVP/PDC
46827,Rahel,Lagler,f,Hägendorf,Solothurn,CVP/PDC
46828,Thomas,Theiler,m,Neuhausen,Schaffhausen,CVP/PDC
46830,Gregor,Schweri,m,Schaffhausen,Schaffhausen,CVP/PDC
46831,Thomas,Ammann,m,Rüthi,St. Gallen,CVP/PDC
46832,Peter,Göldi,m,Gommiswald,St. Gallen,CVP/PDC
46833,Sandro,Morelli,m,Benken,St. Gallen,CVP/PDC
46834,Markus,Ritter,m,Altstätten,St. Gallen,CVP/PDC
46835,Thomas,Warzinek,m,Mels,St. Gallen,CVP/PDC
46836,Sandro,Hess,m,Balgach,St. Gallen,CVP/PDC
46837,Luzia,Krempl,f,Goldach,St. Gallen,CVP/PDC
46838,Felix,Bischofberger,m,Altenrhein,St. Gallen,CVP/PDC
46839,Stefan,Kohler,m,Sargans,St. Gallen,CVP/PDC
46840,Patrick,Dürr,m,Widnau,St. Gallen,CVP/PDC
46841,Barbara,Dürr,f,Gams,St. Gallen,CVP/PDC
46842,Yvonne,Suter,f,Rapperswil-Jona,St. Gallen,CVP/PDC
46843,Severin,Geisseler,m,Untervaz,Graubünden,CVP/PDC
46844,Sandra,Lazzarini,f,Chur,Graubünden,CVP/PDC
46847,Tino,Schneider,m,Chur,Graubünden,CVP/PDC
46848,Francine,Walser-Hemmi,f,Churwalden,Graubünden,CVP/PDC
46850,Tobias,Marty,m,Bonaduz,Graubünden,CVP/PDC
46851,Kevin,Brunold,m,Surcuolm,Graubünden,CVP/PDC
46852,Caterina,Ventrici,f,Chur,Graubünden,CVP/PDC
46853,Sarina,Caduff,f,Cumbel,Graubünden,CVP/PDC
46854,Anton,Capaul,m,Chur,Graubünden,CVP/PDC
46855,Fabian,Collenberg,m,Sumvitg,Graubünden,CVP/PDC
46860,Rosmarie,Wydler-Wälti,f,Basel,Basel-Stadt,small left
46861,Martin,Vosseler,m,Elm,Basel-Stadt,small left
46862,Bastiaan,Frich,m,Nuglar,Basel-Stadt,small left
46863,Tilla,Künzli,f,Münchenstein,Basel-Stadt,small left
46864,Dominique,Lüdi,f,Basel,Basel-Stadt,small left
46865,Peter,Kunzmann,m,Hildisrieden,Luzern,small left
46866,Yvonne,Schwienbacher,f,Luzern,Luzern,small left
46867,David,Bussmann,m,Hitzkirch,Luzern,small left
46868,Susanne,Baumann,f,Kyburg,Zürich,small left
46869,Andreas,Glarner,m,Oberwil-Lieli,Aargau,SVP/UDC
46870,Stefanie,Heimgartner,f,Baden,Aargau,SVP/UDC
46871,Benjamin,Giezendanner,m,Rothrist,Aargau,SVP/UDC
46872,Michaela,Huser,f,Wettingen,Aargau,SVP/UDC
46873,Désirée,Stutz,f,Möhlin,Aargau,SVP/UDC
46874,Bruno,Rudolf,m,Reinach,Aargau,SVP/UDC
46875,Christoph,Hagenbuch,m,Oberlunkhofen,Aargau,SVP/UDC
46876,Nicole,Müller-Boder,f,Buttwil,Aargau,SVP/UDC
46877,Jean-Pierre,Gallati,m,Wohlen,Aargau,SVP/UDC
46878,Martina,Bircher,f,Aarburg,Aargau,SVP/UDC
46879,Alois,Huber,m,Möriken-Wildegg,Aargau,SVP/UDC
46880,Christian,Glur,m,Murgenthal,Aargau,SVP/UDC
46881,Hansjörg,Knecht,m,Leibstadt,Aargau,SVP/UDC
46882,Thomas,Burgherr,m,Wiliberg,Aargau,SVP/UDC
46883,Christoph,Riner,m,Zeihen,Aargau,SVP/UDC
46884,Clemens,Hochreuter,m,Erlinsbach,Aargau,SVP/UDC
46885,Balz,Stückelberger,m,Arlesheim,Basel-Landschaft,FDP/PLR
46886,Nicole,Nüssli-Kaiser,f,Allschwil,Basel-Landschaft,FDP/PLR
46887,Melchior,Buchs,m,Reinach BL,Basel-Landschaft,FDP/PLR
46888,Saskia,Schenker,f,Itingen,Basel-Landschaft,FDP/PLR
46889,Daniela,Schneeberger,f,Thürnen,Basel-Landschaft,FDP/PLR
46890,Christoph,Buser,m,Füllinsdorf,Basel-Landschaft,FDP/PLR
46891,Marc,Schinzel,m,Binningen,Basel-Landschaft,FDP/PLR
46893,Léa,Romanens,f,Yverdon-les-Bains,Waadt,GPS/PES
46894,Felix,Stürner,m,Moudon,Waadt,GPS/PES
46895,Valentine,Python,f,La Tour-de-Peilz,Waadt,GPS/PES
46896,Valérie,Mausner Leger,f,Nyon,Waadt,GPS/PES
46897,Sabine,Glauser Krug,f,Champvent,Waadt,GPS/PES
46898,Adèle,Thorens Goumaz,f,Lausanne,Waadt,GPS/PES
46899,Daniel,Brélaz,m,Lausanne,Waadt,GPS/PES
46900,Léonore,Porchet,f,Lausanne,Waadt,GPS/PES
46901,Raphaël,Mahaim,m,Pampigny,Waadt,GPS/PES
46902,Léonard,Studer,m,Villeneuve,Waadt,GPS/PES
46903,Carmen,Tanner,f,Yverdon-les-Bains,Waadt,GPS/PES
46904,Albert,Pitteloud,m,Réchy,Wallis,SVP/UDC
46905,Maurice,Mischler,m,Epalinges,Waadt,GPS/PES
46906,Andreas,Wüthrich,m,Puidoux,Waadt,GPS/PES
46907,Pascal,Gemperli,m,Morges,Waadt,GPS/PES
46908,Sylvie,Podio,f,Morges,Waadt,GPS/PES
46909,Sophie,Michaud Gigon,f,Lausanne,Waadt,GPS/PES
46910,Xavier,Company,m,Lausanne,Waadt,GPS/PES
46911,Nathalie,Jaccard,f,Renens,Waadt,GPS/PES
46912,Alberto,Mocchi,m,Daillens,Waadt,GPS/PES
46913,Matthias Samuel,Jauslin,m,Wohlen,Aargau,FDP/PLR
46914,Gina,Kern,f,Ehrendingen,Aargau,FDP/PLR
46915,Martina,Sigg,f,Schinznach Dorf,Aargau,FDP/PLR
46917,Gaby,Gerber,f,Rheinfelden,Aargau,FDP/PLR
46918,Nicolas,Rubin,m,Moutier,Bern,FDP/PLR
46919,Alexandre,Schmidt,m,Bern,Bern,FDP/PLR
46922,Claudine,Esseiva,f,Bern,Bern,FDP/PLR
46926,Thomas,Kessler,m,Basel,Basel-Stadt,FDP/PLR
46927,Corinna,Zigerli,f,Basel,Basel-Stadt,FDP/PLR
46928,Brigitte,Bailer,f,Rapperswil-Jona,St. Gallen,FDP/PLR
46929,Stefan,Britschgi,m,Diepoldsau,St. Gallen,FDP/PLR
46930,Raphael,Frei,m,Rorschacherberg,St. Gallen,FDP/PLR
46931,Mathias,Gabathuler,m,St. Gallen,St. Gallen,FDP/PLR
46933,Ingrid E.,Markart,f,Oberuzwil,St. Gallen,FDP/PLR
46934,Karin,Weigelt,f,Sargans,St. Gallen,FDP/PLR
46935,Fabienne,Bünzli,f,Berg,St. Gallen,FDP/PLR
46936,Zahra,Fawzi,f,Heerbrugg,St. Gallen,FDP/PLR
46940,Isabel,Schorer,f,St. Gallen,St. Gallen,FDP/PLR
46942,Claudia,Ellenberger-Richli,f,Löhningen,Schaffhausen,FDP/PLR
46943,Marcel,Fringer,m,Thayngen,Schaffhausen,FDP/PLR
46944,Kurt,Fluri,m,Solothurn,Solothurn,FDP/PLR
46945,François,Scheidegger,m,Grenchen,Solothurn,FDP/PLR
46946,Johanna,Bartholdi,f,Egerkingen,Solothurn,FDP/PLR
46947,Roman,Baumann Lorant,m,Gempen,Solothurn,FDP/PLR
46948,Reto,Grolimund,m,Olten,Solothurn,FDP/PLR
46949,Stefan,Nünlist,m,Olten,Solothurn,FDP/PLR
46950,David,Plüss,m,Olten,Solothurn,FDP/PLR
46951,Kuno,Tschumi,m,Derendingen,Solothurn,FDP/PLR
46952,Ueli,Strauss-Gallmann,m,Wittenbach,St. Gallen,FDP/PLR
46953,Anaïs,Timofte,f,Lausanne,Waadt,small left
46954,Carole,Castillo,f,Renens,Waadt,small left
46955,Zakaria,Dridi,m,Le Mont sur Lausanne,Waadt,small left
46956,Ozlem,Dursun,f,Lausanne,Waadt,small left
46957,Laura,Manzoni,f,Lausanne,Waadt,small left
46958,Marie,Schneider,f,Renens,Waadt,small left
46959,Luca,Schalbetter,m,Yverdon-les-Bains,Waadt,small left
46960,Véra,Tchérémissinoff,f,Lausanne,Waadt,small left
46961,Marc,Vuilleumier,m,Lausanne,Waadt,small left
46962,Caroline,Jobin,f,Yverdon-les-Bains,Waadt,small left
46963,Fabrice,Chaperon,m,Duiller,Waadt,small left
46964,Augustin,Mukamba,m,Renens,Waadt,small left
46965,Mehmet,Korkmaz,m,Renens,Waadt,small left
46966,Céline,Misiego,f,Lausanne,Waadt,small left
46967,Joaquim,Manzoni,m,Lausanne,Waadt,small left
46968,Christophe,Grand,m,Bex,Waadt,small left
46969,Vincent,Keller,m,Renens,Waadt,small left
46970,Nicole,Divorne,f,Renens,Waadt,small left
46971,Bernard,Borel,m,Aigle,Waadt,small left
46972,Marcel,Dobler,m,Rapperswil-Jona,St. Gallen,FDP/PLR
46973,Christa,Markwalder,f,Burgdorf,Bern,FDP/PLR
